problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
eil51.tsp,CheapestInsertion,NodeShift,440.68,447.76,458.97
eil51.tsp,SemiGreedyCheapestInsertion,---,485.76,516.41,530.56
eil51.tsp,SemiGreedyCheapestInsertion,TwoOpt,448.87,456.05,465.69
eil51.tsp,SemiGreedyCheapestInsertion,NodeSwap,458.39,477.32,487.46
eil51.tsp,SemiGreedyCheapestInsertion,NodeShift,437.01,454.31,465.98
eil51.tsp,SemiGreedyRandomInsertion,---,608.43,638.91,685.28
eil51.tsp,SemiGreedyRandomInsertion,TwoOpt,444.33,463.77,483.47
eil51.tsp,SemiGreedyRandomInsertion,NodeSwap,465.05,503.02,520.87
eil51.tsp,SemiGreedyRandomInsertion,NodeShift,440.63,467.47,496.26
eil51.tsp,MSTSimple,---,611.78,632.31,652.05
eil51.tsp,MSTSimple,TwoOpt,436.74,451.93,469.24
eil51.tsp,MSTSimple,NodeSwap,541.95,554.63,563.93
eil51.tsp,MSTSimple,NodeShift,479.57,489.79,508.91
eil76.tsp,NearestNeighbour,---,612.66,654.90,719.91
eil76.tsp,NearestNeighbour,TwoOpt,562.53,578.69,596.44
eil76.tsp,NearestNeighbour,NodeSwap,607.86,638.99,686.69
eil76.tsp,NearestNeighbour,NodeShift,571.08,595.29,619.24
eil76.tsp,SemiGreedyNearestNeighbour,---,840.50,957.13,1089.60
eil76.tsp,SemiGreedyNearestNeighbour,TwoOpt,571.53,604.24,628.90
eil76.tsp,SemiGreedyNearestNeighbour,NodeSwap,647.09,685.21,720.39
eil76.tsp,SemiGreedyNearestNeighbour,NodeShift,595.84,621.07,655.42
eil76.tsp,CheapestInsertion,---,605.01,616.83,629.54
eil76.tsp,CheapestInsertion,TwoOpt,572.94,591.50,606.65
eil76.tsp,CheapestInsertion,NodeSwap,587.96,599.81,615.92
eil76.tsp,CheapestInsertion,NodeShift,568.30,581.37,587.91
eil76.tsp,SemiGreedyCheapestInsertion,---,619.52,654.95,684.99
eil76.tsp,SemiGreedyCheapestInsertion,TwoOpt,576.75,589.51,605.36
eil76.tsp,SemiGreedyCheapestInsertion,NodeSwap,596.91,609.73,620.22
eil76.tsp,SemiGreedyCheapestInsertion,NodeShift,578.83,600.24,615.92
eil76.tsp,SemiGreedyRandomInsertion,---,761.11,804.19,838.14
eil76.tsp,SemiGreedyRandomInsertion,TwoOpt,576.84,594.33,619.77
eil76.tsp,SemiGreedyRandomInsertion,NodeSwap,611.91,650.46,679.93
eil76.tsp,SemiGreedyRandomInsertion,NodeShift,589.90,606.85,631.64
eil76.tsp,MSTSimple,---,669.24,689.11,706.69
eil76.tsp,MSTSimple,TwoOpt,579.60,587.12,598.22
eil76.tsp,MSTSimple,NodeSwap,605.40,616.45,624.33
eil76.tsp,MSTSimple,NodeShift,590.88,598.76,608.16
kroA100.tsp,NearestNeighbour,---,25760.68,26937.15,28342.64
kroA100.tsp,NearestNeighbour,TwoOpt,22030.48,22556.04,23713.53
kroA100.tsp,NearestNeighbour,NodeSwap,23303.25,24213.82,25510.78
kroA100.tsp,NearestNeighbour,NodeShift,23581.23,24520.10,26091.20
kroA100.tsp,SemiGreedyNearestNeighbour,---,41452.56,46120.00,50536.81
kroA100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22487.86,23448.30,24492.84
kroA100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26681.04,29123.68,30823.29
kroA100.tsp,SemiGreedyNearestNeighbour,NodeShift,24860.66,26714.67,29075.52
kroA100.tsp,CheapestInsertion,---,23962.68,24879.27,25584.69
kroA100.tsp,CheapestInsertion,TwoOpt,22999.57,23559.00,24155.42
kroA100.tsp,CheapestInsertion,NodeSwap,23654.85,24044.95,24489.95
kroA100.tsp,CheapestInsertion,NodeShift,21968.11,22671.45,23136.78
kroA100.tsp,SemiGreedyCheapestInsertion,---,28506.98,29040.92,29498.13
kroA100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22004.52,23706.07,24523.45
kroA100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24124.26,24876.33,25591.01
kroA100.tsp,SemiGreedyCheapestInsertion,NodeShift,22566.49,24068.16,24846.40
kroA100.tsp,SemiGreedyRandomInsertion,---,32160.35,34035.02,35908.20
kroA100.tsp,SemiGreedyRandomInsertion,TwoOpt,22092.30,22849.01,23810.12
kroA100.tsp,SemiGreedyRandomInsertion,NodeSwap,25614.00,27777.17,29806.36
kroA100.tsp,SemiGreedyRandomInsertion,NodeShift,22739.60,23902.75,25476.59
kroA100.tsp,MSTSimple,---,27254.38,27621.12,28094.51
kroA100.tsp,MSTSimple,TwoOpt,22652.36,22808.23,23217.90
kroA100.tsp,MSTSimple,NodeSwap,24939.75,25454.19,25994.10
kroA100.tsp,MSTSimple,NodeShift,24212.57,24674.94,25100.12
kroB100.tsp,NearestNeighbour,---,25883.81,27971.35,30143.70
kroB100.tsp,NearestNeighbour,TwoOpt,22471.78,23146.20,23557.06
kroB100.tsp,NearestNeighbour,NodeSwap,25438.34,26698.51,28594.19
kroB100.tsp,NearestNeighbour,NodeShift,24180.24,25112.37,26267.74
kroB100.tsp,SemiGreedyNearestNeighbour,---,37266.00,44142.30,52790.57
kroB100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23443.90,23989.81,25338.97
kroB100.tsp,SemiGreedyNearestNeighbour,NodeSwap,27726.31,29910.28,34595.18
kroB100.tsp,SemiGreedyNearestNeighbour,NodeShift,26660.61,28651.07,31556.42
kroB100.tsp,CheapestInsertion,---,25009.62,25458.13,25844.69
kroB100.tsp,CheapestInsertion,TwoOpt,23273.56,23823.05,24622.12
kroB100.tsp,CheapestInsertion,NodeSwap,24263.52,24721.23,25639.22
kroB100.tsp,CheapestInsertion,NodeShift,23748.48,24210.55,24562.37
kroB100.tsp,SemiGreedyCheapestInsertion,---,27190.73,28337.90,30063.38
kroB100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23053.54,23948.07,25448.11
kroB100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24963.71,25657.47,26695.57
kroB100.tsp,SemiGreedyCheapestInsertion,NodeShift,23131.09,24358.54,25516.91
kroB100.tsp,SemiGreedyRandomInsertion,---,33098.81,34411.61,36837.74
kroB100.tsp,SemiGreedyRandomInsertion,TwoOpt,22945.16,24061.04,24734.88
kroB100.tsp,SemiGreedyRandomInsertion,NodeSwap,26209.24,28070.53,29088.86
kroB100.tsp,SemiGreedyRandomInsertion,NodeShift,24334.43,25407.50,27435.24
kroB100.tsp,MSTSimple,---,25800.58,26165.48,26820.59
kroB100.tsp,MSTSimple,TwoOpt,23074.52,23271.89,23614.95
kroB100.tsp,MSTSimple,NodeSwap,25040.25,25440.49,25786.11
kroB100.tsp,MSTSimple,NodeShift,22609.95,23609.03,24201.22
kroC100.tsp,NearestNeighbour,---,24797.99,26587.85,28903.43
kroC100.tsp,NearestNeighbour,TwoOpt,21680.58,22399.12,23018.28
kroC100.tsp,NearestNeighbour,NodeSwap,24626.91,25362.70,27284.50
kroC100.tsp,NearestNeighbour,NodeShift,22005.19,23192.16,24979.22
kroC100.tsp,SemiGreedyNearestNeighbour,---,40549.25,45503.96,49874.46
kroC100.tsp,SemiGreedyNearestNeighbour,TwoOpt,21861.67,22944.51,24167.50
kroC100.tsp,SemiGreedyNearestNeighbour,NodeSwap,25905.22,29672.82,31979.64
kroC100.tsp,SemiGreedyNearestNeighbour,NodeShift,25091.51,27058.81,28843.32
kroC100.tsp,CheapestInsertion,---,25116.14,25333.39,25539.44
kroC100.tsp,CheapestInsertion,TwoOpt,23817.01,24171.15,24684.20
kroC100.tsp,CheapestInsertion,NodeSwap,24125.13,24652.98,25014.81
kroC100.tsp,CheapestInsertion,NodeShift,22915.97,23262.86,23923.74
kroC100.tsp,SemiGreedyCheapestInsertion,---,26070.30,27945.00,29927.07
kroC100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23073.08,23946.24,24759.40
kroC100.tsp,SemiGreedyCheapestInsertion,NodeSwap,23653.53,24730.27,25421.64
kroC100.tsp,SemiGreedyCheapestInsertion,NodeShift,22680.58,23186.47,24550.26
kroC100.tsp,SemiGreedyRandomInsertion,---,32740.22,33905.29,34974.22
kroC100.tsp,SemiGreedyRandomInsertion,TwoOpt,21836.50,22627.57,23283.73
kroC100.tsp,SemiGreedyRandomInsertion,NodeSwap,26111.67,27645.86,30221.86
kroC100.tsp,SemiGreedyRandomInsertion,NodeShift,23354.34,25236.60,26541.41
kroC100.tsp,MSTSimple,---,27497.38,28107.90,29152.06
kroC100.tsp,MSTSimple,TwoOpt,22139.80,22602.89,23202.98
kroC100.tsp,MSTSimple,NodeSwap,25622.43,26433.96,27031.13
kroC100.tsp,MSTSimple,NodeShift,23763.95,24510.99,25082.42
kroD100.tsp,NearestNeighbour,---,25716.42,27131.81,28441.01
kroD100.tsp,NearestNeighbour,TwoOpt,22442.24,23314.28,24168.31
kroD100.tsp,NearestNeighbour,NodeSwap,26065.69,27085.59,27719.26
kroD100.tsp,NearestNeighbour,NodeShift,24468.81,25223.40,26583.67
kroD100.tsp,SemiGreedyNearestNeighbour,---,39540.67,45461.14,51488.84
kroD100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22363.03,23141.95,24363.23
kroD100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26589.63,28567.61,30548.44
kroD100.tsp,SemiGreedyNearestNeighbour,NodeShift,24760.61,27680.78,32143.70
kroD100.tsp,CheapestInsertion,---,23972.76,25001.68,25743.06
kroD100.tsp,CheapestInsertion,TwoOpt,22758.66,23385.62,23901.19
kroD100.tsp,CheapestInsertion,NodeSwap,24509.70,24796.71,25045.23
kroD100.tsp,CheapestInsertion,NodeShift,22202.48,23378.53,24214.27
kroD100.tsp,SemiGreedyCheapestInsertion,---,27666.97,28480.03,29457.08
kroD100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22658.39,23764.21,24940.97
kroD100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24179.42,25454.87,27104.21
kroD100.tsp,SemiGreedyCheapestInsertion,NodeShift,22677.68,23841.85,24975.17
kroD100.tsp,SemiGreedyRandomInsertion,---,33582.96,34569.39,35621.22
kroD100.tsp,SemiGreedyRandomInsertion,TwoOpt,22448.44,23587.62,24725.31
kroD100.tsp,SemiGreedyRandomInsertion,NodeSwap,25684.94,26933.34,28186.00
kroD100.tsp,SemiGreedyRandomInsertion,NodeShift,23034.70,24928.80,26932.67
kroD100.tsp,MSTSimple,---,26555.26,27560.35,28219.73
kroD100.tsp,MSTSimple,TwoOpt,22260.57,22655.59,22971.22
kroD100.tsp,MSTSimple,NodeSwap,23597.82,25051.29,25737.09
kroD100.tsp,MSTSimple,NodeShift,23103.93,23497.82,24019.14
kroE100.tsp,NearestNeighbour,---,25221.77,27292.54,28932.38
kroE100.tsp,NearestNeighbour,TwoOpt,22886.35,23470.46,24328.41
kroE100.tsp,NearestNeighbour,NodeSwap,24454.50,25418.33,27284.24
kroE100.tsp,NearestNeighbour,NodeShift,23591.44,24570.33,26148.50
kroE100.tsp,SemiGreedyNearestNeighbour,---,39835.96,46531.90,52661.41
kroE100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23425.24,24093.78,24592.31
kroE100.tsp,SemiGreedyNearestNeighbour,NodeSwap,27340.00,30708.14,32357.24
kroE100.tsp,SemiGreedyNearestNeighbour,NodeShift,24873.79,26806.10,28468.79
kroE100.tsp,CheapestInsertion,---,24778.64,25669.08,26131.62
kroE100.tsp,CheapestInsertion,TwoOpt,22935.63,23455.23,24041.29
kroE100.tsp,CheapestInsertion,NodeSwap,25006.09,25183.66,25482.14
kroE100.tsp,CheapestInsertion,NodeShift,23404.39,23815.19,24208.51
kroE100.tsp,SemiGreedyCheapestInsertion,---,27713.13,28417.46,29523.31
kroE100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23066.59,23589.72,24458.27
kroE100.tsp,SemiGreedyCheapestInsertion,NodeSwap,23861.80,25025.53,25972.70
kroE100.tsp,SemiGreedyCheapestInsertion,NodeShift,22764.86,24470.47,25669.20
kroE100.tsp,SemiGreedyRandomInsertion,---,34145.07,35439.98,36561.07
kroE100.tsp,SemiGreedyRandomInsertion,TwoOpt,23388.94,24005.12,24838.42
kroE100.tsp,SemiGreedyRandomInsertion,NodeSwap,27005.87,28651.38,30856.55
kroE100.tsp,SemiGreedyRandomInsertion,NodeShift,23965.54,25671.52,27346.33
kroE100.tsp,MSTSimple,---,28816.13,30126.28,31219.94
kroE100.tsp,MSTSimple,TwoOpt,22590.38,23011.59,23322.04
kroE100.tsp,MSTSimple,NodeSwap,25152.61,26489.30,27258.06
kroE100.tsp,MSTSimple,NodeShift,24778.07,25510.77,26454.97
lin105.tsp,NearestNeighbour,---,17061.85,18661.52,20590.26
lin105.tsp,NearestNeighbour,TwoOpt,14873.51,15241.73,16487.59
lin105.tsp,NearestNeighbour,NodeSwap,15879.29,18051.84,19646.41
lin105.tsp,NearestNeighbour,NodeShift,15298.47,16090.60,17332.30
