trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
2,TOP_THREE,INFORMATION_GAIN,62.1382,0.1617,45,4,1.80,0.00,1.50,1.00,2.00,3.00
2,TOP_THREE,GINI_IMPURITY,68.4584,0.0804,37,6,1.50,2.33,3.00,2.00,4.00,0.00
2,TOP_THREE,GINI_IMPURITY,66.9817,0.1409,39,5,0.00,2.00,1.00,2.00,2.00,3.00
2,TOP_THREE,GINI_IMPURITY,56.9403,0.1759,54,5,2.60,0.00,1.50,3.00,1.67,2.00
2,TOP_THREE,GINI_IMPURITY,66.1548,0.1352,40,6,3.33,4.00,1.00,2.50,2.00,0.00
2,TOP_THREE,GINI_IMPURITY,58.7123,0.1373,34,3,0.00,1.00,1.75,2.00,1.00,2.00
2,TOP_THREE,GINI_IMPURITY,62.6108,0.2006,58,6,2.33,0.00,1.50,2.33,3.00,3.25
2,TOP_THREE,GINI_IMPURITY,68.6946,0.158,32,4,2.00,1.00,-1.00,0.00,2.00,2.00
2,TOP_THREE,GINI_IMPURITY,71.5889,0.1413,31,4,1.50,1.00,-1.00,0.00,2.50,2.67
2,TOP_THREE,GINI_IMPURITY,66.3320,0.1603,50,5,1.00,2.00,3.33,0.00,2.00,3.00
2,TOP_THREE,GINI_IMPURITY,69.4625,0.1665,42,4,2.50,1.50,2.00,2.33,2.33,0.00
2,TOP_THREE,GINI_IMPURITY,55.5227,0.1622,51,6,0.00,1.67,3.00,1.00,3.00,4.00
2,TOP_THREE,GINI_IMPURITY,61.4294,0.1538,38,4,0.00,2.00,2.00,1.33,2.50,2.50
2,TOP_THREE,GINI_IMPURITY,63.5558,0.1351,38,4,2.50,2.33,1.00,0.00,3.00,2.00
2,TOP_THREE,GINI_IMPURITY,67.6905,0.1901,45,5,3.33,3.00,0.00,1.67,1.50,1.33
2,TOP_THREE,GINI_IMPURITY,68.1040,0.1252,26,4,2.50,1.00,-1.00,0.00,-1.00,2.00
2,TOP_THREE,GINI_IMPURITY,71.5889,0.147,25,4,1.00,-1.00,2.00,0.00,3.00,1.50
2,TOP_THREE,GINI_IMPURITY,69.0490,0.1971,35,4,2.00,2.00,3.00,1.67,2.50,0.00
2,TOP_THREE,GINI_IMPURITY,64.6190,0.1636,34,4,2.33,2.00,2.00,0.00,2.00,1.00
2,TOP_THREE,GINI_IMPURITY,66.8636,0.1838,42,5,0.00,2.67,2.00,1.75,3.00,1.00
2,TOP_THREE,GINI_IMPURITY,77.7318,0.1341,34,5,3.00,2.00,3.00,0.00,-1.00,1.00
3,BEST,INFORMATION_GAIN,70.5251,0.1957,34,4,2.00,2.33,2.00,1.00,1.00,0.00
3,BEST,INFORMATION_GAIN,70.2864,0.1951,34,4,2.00,1.50,-1.00,2.00,-1.00,0.00
3,BEST,INFORMATION_GAIN,77.3866,0.1848,38,4,2.33,2.50,-1.00,1.00,-1.00,0.00
3,BEST,INFORMATION_GAIN,66.8258,0.1609,31,4,2.33,2.00,1.00,1.00,-1.00,0.00
3,BEST,INFORMATION_GAIN,77.3270,0.1933,29,4,2.00,2.50,-1.00,0.00,3.00,1.00
3,BEST,INFORMATION_GAIN,63.1862,0.1826,44,4,0.00,1.80,1.00,2.50,1.00,2.00
3,BEST,INFORMATION_GAIN,76.9093,0.2145,49,4,2.33,2.80,2.00,1.00,3.00,0.00
3,BEST,INFORMATION_GAIN,74.3437,0.1949,47,4,2.33,2.00,2.00,0.00,-1.00,1.00
3,BEST,INFORMATION_GAIN,70.8831,0.2228,49,4,2.00,2.50,2.00,1.50,3.00,0.00
3,BEST,INFORMATION_GAIN,74.7613,0.2336,41,4,2.40,2.50,-1.00,1.00,3.00,0.00
